ACK_Event,Time_s,Tahoe_Throughput_kbps,Reno_Throughput_kbps
658,5.296942,1170.646,1364.5782
659,5.304942,1170.6178,1363.8766
660,5.312942,1171.042,1364.0724
661,5.320942,1171.4647,1364.2687
662,5.328942,1171.8865,1364.0212
663,5.336942,1172.3076,1363.7697
664,5.344942,1172.2782,1363.5204
665,5.352942,1172.6975,1363.7154
666,5.360942,1172.6689,1363.91
667,5.368942,1173.0872,1364.1053
668,5.376942,1173.5039,1364.3008
669,5.384942,1173.9197,1364.0536
670,5.392942,1174.3347,1364.2482
671,5.400942,1174.7486,1364.442
672,5.408942,1175.161,1364.6349
673,5.416942,1175.191,1364.8285
674,5.424942,1175.6016,1364.5838
675,5.432942,1176.0108,1364.7761
676,5.440942,1176.4184,1364.5348
677,5.448942,1176.8257,1364.7265
678,5.456942,1176.792,1364.9177
679,5.464942,1177.1978,1364.6773
680,5.472942,1177.602,1364.8681
681,5.480942,1176.847,1364.6233
682,5.488942,1177.2505,1363.9455
683,5.496942,1176.8999,1364.1344
684,5.504942,1176.8657,1363.8901
685,5.512942,1176.8916,1364.0796
686,5.520942,1177.2919,1364.2686
687,5.528942,1177.6911,1364.4577
688,5.536942,1177.7155,1364.6478
689,5.544942,1178.1137,1364.41
690,5.552942,1177.7054,1364.1682
691,5.560942,1178.1034,1363.9279
692,5.568942,1178.5006,1364.1169
693,5.576942,1178.4663,1363.8816
694,5.584942,1178.4912,1363.645
695,5.592942,1178.4583,1363.4071
696,5.600942,1178.4258,1363.5954
697,6.000956,1162.0416,1363.7826
698,6.179442,1155.9971,1363.9693
699,6.285642,1152.8573,1363.736
700,6.356899,1151.0454,1363.9217
701,6.408103,1149.9689,1364.1073
702,6.446501,1149.3492,1363.8726
703,6.476424,1148.6591,1363.6382
704,6.50043,1148.5401,1363.8252
705,6.520098,1148.5676,1363.5919
706,6.53661,1148.7016,1363.3585
707,6.550747,1148.5818,1362.7095
708,6.563093,1148.8546,1362.895
709,6.57415,1149.1696,1362.6632
710,6.584189,1149.5172,1362.8484
711,6.59333,1149.8932,1363.0331
712,6.601841,1150.2891,1362.8013
713,6.609841,1150.6998,1362.985
714,6.617841,1151.1112,1363.1694
715,6.625841,1151.5206,1362.9403
716,6.633841,1151.5687,1363.1238
717,6.641841,1151.616,1363.3053
718,6.649841,1152.0233,1363.4872
719,6.657841,1152.0693,1363.6694
720,6.665841,1152.4749,1363.8519
721,6.673841,1152.8799,1363.6242
722,6.681841,1153.2843,1363.3963
723,6.689841,1153.688,1363.5778
724,6.697841,1154.0916,1363.7588
725,6.705841,1154.4946,1363.9398
726,6.713841,1154.5695,1363.717
727,6.721841,1154.6122,1363.8997
728,6.729841,1155.0111,1364.0817
729,6.737841,1155.4099,1364.2627
730,6.745841,1155.8082,1364.4431
731,6.753841,1155.4963,1364.6234
732,6.761841,1155.894,1364.8027
733,6.769841,1156.291,1364.9807
734,6.777841,1156.687,1364.7556
735,6.785841,1156.7285,1364.9331
736,6.793841,1157.1222,1365.1102
737,6.801841,1157.5161,1365.2869
738,6.809841,1157.9089,1364.6614
739,6.817841,1158.3012,1364.4369
740,6.825841,1158.6927,1364.6125
741,6.833841,1159.0829,1364.7889
